symptom,disease,source_record_id,frequency
fatigue,anemia,4,4
shortness of breath,anemia,4,4
noticeable heartbeats (heart palpitations),anemia,4,4
pale skin,anemia,4,4
headaches,anemia,4,5
hearing ringing,anemia,4,4
buzzing or hissing noises inside your head (tinnitus),anemia,4,4
food tasting strange,anemia,4,4
feeling itchy,anemia,4,4
a sore tongue,anemia,4,4
hair loss,anemia,4,4
wanting to eat non-food items (pica),anemia,4,4
finding it hard to swallow (dysphagia),anemia,4,4
painful open sores (ulcers) in the corners of your mouth,anemia,4,4
spoon-shaped nails,anemia,4,4
restless legs syndrome,anemia,4,4
severe throbbing pain or pulsing sensation on one side of the head,migraine,5,1
nausea,migraine,5,1
vomiting,migraine,5,1
extreme sensitivity to light and sound,migraine,5,1
visual disturbances (aura) like flashes of light or blind spots,migraine,5,1
tingling on one side of the face or in an arm or leg,migraine,5,1
difficulty speaking,migraine,5,1
pain on one or both sides of the head,migraine,5,1
throbbing or pulsing pain,migraine,5,1
sensitivity to light,migraine,5,1
sound,migraine,5,1
smell,migraine,5,1
and touch,migraine,5,1
feeling drained and confused after an attack,migraine,5,1
elated feeling or pain triggered by sudden head movement,migraine,5,1
headaches,polycythemia,6,1
blurred vision,polycythemia,6,1
red skin (especially in the face,polycythemia,6,1
hands,polycythemia,6,1
and feet),polycythemia,6,1
fatigue,polycythemia,6,1
high blood pressure,polycythemia,6,1
dizziness,polycythemia,6,1
discomfort in the tummy,polycythemia,6,1
confusion,polycythemia,6,1
bleeding problems (nosebleeds and bruising),polycythemia,6,1
gout (joint pain,polycythemia,6,1
stiffness,polycythemia,6,1
and swelling),polycythemia,6,1
itchy skin (especially after a bath or shower),polycythemia,6,1
blood clots leading to pulmonary embolisms (blockage in the blood vessel from heart to lungs),polycythemia,6,1
deep vein thrombosis (dvt) symptoms (pain,polycythemia,6,1
swelling,polycythemia,6,1
redness,polycythemia,6,1
tenderness in leg,polycythemia,6,1
heavy ache,polycythemia,6,1
warm skin in clot area),polycythemia,6,1
shortness of breath,polycythemia,6,1
chest or upper back pain,polycythemia,6,1
coughing up blood,polycythemia,6,1
feeling lightheaded or dizzy,polycythemia,6,1
fainting,polycythemia,6,1
shortness of breath,pulmonary hypertension (ph),7,1
fatigue,pulmonary hypertension (ph),7,1
feeling faint or dizzy,pulmonary hypertension (ph),7,1
chest pain (angina),pulmonary hypertension (ph),7,1
racing heartbeat (palpitations),pulmonary hypertension (ph),7,1
swelling (edema) in legs,pulmonary hypertension (ph),7,1
ankles,pulmonary hypertension (ph),7,1
feet,pulmonary hypertension (ph),7,1
or abdomen,pulmonary hypertension (ph),7,1
worsening of symptoms during exercise,pulmonary hypertension (ph),7,1
limited ability to participate in physical activities,pulmonary hypertension (ph),7,1
frequent or chronic cough,respiratory disorders,8,1
cough producing a lot of mucus,respiratory disorders,8,1
wheezing,respiratory disorders,8,1
squeaking or whistling sound when breathing,respiratory disorders,8,1
shortness of breath worse with activity,respiratory disorders,8,1
chest tightness,respiratory disorders,8,1
sensitivity to respiratory infections (colds or flu),respiratory disorders,8,1
weight loss,respiratory disorders,8,1
weakness,respiratory disorders,8,1
swelling in legs and feet,respiratory disorders,8,1
blue tinge to lips or fingernails (cyanosis),respiratory disorders,8,1
breathing stopping and starting,sleep apnoea,9,1
making gasping,sleep apnoea,9,1
snorting,sleep apnoea,9,1
or choking noises,sleep apnoea,9,1
waking up frequently,sleep apnoea,9,1
loud snoring,sleep apnoea,9,1
feeling very tired during the day,sleep apnoea,9,1
difficulty concentrating,sleep apnoea,9,1
mood swings,sleep apnoea,9,1
waking up with a headache,sleep apnoea,9,1
swelling of your throat and tongue,type i allergic reactions (including anaphylaxis),39,1
shortness of breath,type i allergic reactions (including anaphylaxis),39,1
difficulty swallowing,type i allergic reactions (including anaphylaxis),39,1
tightness in your throat or a hoarse voice,type i allergic reactions (including anaphylaxis),39,1
wheezing,type i allergic reactions (including anaphylaxis),39,1
coughing or noisy breathing,type i allergic reactions (including anaphylaxis),39,1
feeling tired or confused,type i allergic reactions (including anaphylaxis),39,1
feeling faint,type i allergic reactions (including anaphylaxis),39,1
dizzy or fainting,type i allergic reactions (including anaphylaxis),39,1
skin that feels cold to the touch,type i allergic reactions (including anaphylaxis),39,1
and blue,type i allergic reactions (including anaphylaxis),39,1
grey or pale skin,type i allergic reactions (including anaphylaxis),39,1
lips,type i allergic reactions (including anaphylaxis),39,1
or tongue. if you have brown or black skin,type i allergic reactions (including anaphylaxis),39,1
this may be easier to see on the palms of your hands or soles of your feet,type i allergic reactions (including anaphylaxis),39,1
hives,serum sickness,40,1
itching,serum sickness,40,1
rash,serum sickness,40,1
fever,serum sickness,40,1
arthritis,serum sickness,40,1
and swollen lymph nodes,serum sickness,40,1
itching,urticaria,48,2
swelling of the surface of the skin into red- or skin-colored welts (called wheals) with clearly defined edges,urticaria,48,2
wheals getting bigger,urticaria,48,2
spreading,urticaria,48,2
and joining together to form larger areas of flat,urticaria,48,2
raised skin,urticaria,48,2
wheals often changing shape,urticaria,48,2
disappearing,urticaria,48,2
and reappearing within minutes or hours. it's unusual for a wheal to last more than 48 hours. dermatographism,urticaria,48,2
or skin writing,urticaria,48,2
is a type of hives caused by pressure on the skin,urticaria,48,2
resulting in immediate hives in the area that has been pressed on or scratched,urticaria,48,2
hot or painful sensation,angioneurotic edema,49,1
swelling in throat and airway,angioneurotic edema,49,1
vision-impairing conjunctival swelling,angioneurotic edema,49,1
stomach pain with nausea,angioneurotic edema,49,1
vomiting,angioneurotic edema,49,1
diarrhea,angioneurotic edema,49,1
bladder and urethral swelling,angioneurotic edema,49,1
open-angle glaucoma: no symptoms in early stages,simple (open angle) glaucoma,50,1
gradually,simple (open angle) glaucoma,50,1
patchy blind spots in your side vision (peripheral vision),simple (open angle) glaucoma,50,1
in later stages,simple (open angle) glaucoma,50,1
difficulty seeing things in your central vision,simple (open angle) glaucoma,50,1
acute angle-closure glaucoma: severe headache,simple (open angle) glaucoma,50,1
severe eye pain,simple (open angle) glaucoma,50,1
nausea or vomiting,simple (open angle) glaucoma,50,1
blurred vision,simple (open angle) glaucoma,50,1
halos or colored rings around lights,simple (open angle) glaucoma,50,1
eye redness,simple (open angle) glaucoma,50,1
normal-tension glaucoma: no symptoms in early stages,simple (open angle) glaucoma,50,1
loss of side vision,simple (open angle) glaucoma,50,1
glaucoma in children: a dull or cloudy eye (infants),simple (open angle) glaucoma,50,1
increased blinking (infants),simple (open angle) glaucoma,50,1
tears without crying (infants),simple (open angle) glaucoma,50,1
nearsightedness that gets worse,simple (open angle) glaucoma,50,1
headache,simple (open angle) glaucoma,50,1
pigmentary glaucoma: halos around lights,simple (open angle) glaucoma,50,1
blurred vision with exercise,simple (open angle) glaucoma,50,1
gradual loss of side vision,simple (open angle) glaucoma,50,1
asthma symptoms include:,"intermittent symptoms of asthma (wheezing, tightness of chest, shortness of breath)",51,1
shortness of breath,"intermittent symptoms of asthma (wheezing, tightness of chest, shortness of breath)",51,1
chest tightness or pain,"intermittent symptoms of asthma (wheezing, tightness of chest, shortness of breath)",51,1
wheezing when exhaling (common in children),"intermittent symptoms of asthma (wheezing, tightness of chest, shortness of breath)",51,1
trouble sleeping due to shortness of breath,"intermittent symptoms of asthma (wheezing, tightness of chest, shortness of breath)",51,1
coughing,"intermittent symptoms of asthma (wheezing, tightness of chest, shortness of breath)",51,1
or wheezing,"intermittent symptoms of asthma (wheezing, tightness of chest, shortness of breath)",51,1
coughing or wheezing attacks worsened by respiratory infections like cold or flu,"intermittent symptoms of asthma (wheezing, tightness of chest, shortness of breath)",51,1
signs of worsening asthma:,"intermittent symptoms of asthma (wheezing, tightness of chest, shortness of breath)",51,1
more frequent and bothersome symptoms,"intermittent symptoms of asthma (wheezing, tightness of chest, shortness of breath)",51,1
increased use of a quick-relief inhaler,"intermittent symptoms of asthma (wheezing, tightness of chest, shortness of breath)",51,1
severe pain in one or more joints,acute gouty arthritis,55,2
the joint feeling hot and very tender,acute gouty arthritis,55,2
swelling in and around the affected joint,acute gouty arthritis,55,2
red shiny skin over the affected joint,acute gouty arthritis,55,2
fatigue,adrenocortical insufficiency,56,1
muscle weakness,adrenocortical insufficiency,56,1
loss of appetite,adrenocortical insufficiency,56,1
weight loss,adrenocortical insufficiency,56,1
and abdominal pain,adrenocortical insufficiency,56,1
hair changes:,alopecia areata (aa),57,1
sudden loss of round or oval patches of hair on the scalp,alopecia areata (aa),57,1
"short broken hairs or ""exclamation point"" hairs around the edges of the patch",alopecia areata (aa),57,1
tingling,alopecia areata (aa),57,1
burning,alopecia areata (aa),57,1
or itching on patches of skin before hair falls out,alopecia areata (aa),57,1
hair regrows within a few months,alopecia areata (aa),57,1
additional bare patches develop,alopecia areata (aa),57,1
small patches join to form larger ones,alopecia areata (aa),57,1
hair is lost from the entire scalp (alopecia totalis),alopecia areata (aa),57,1
complete loss of body hair (alopecia universalis),alopecia areata (aa),57,1
subsequent episodes of hair loss,alopecia areata (aa),57,1
nail changes:,alopecia areata (aa),57,1
ridges and pits in the nails,alopecia areata (aa),57,1
back pain,ankylosing spondylitis (as),58,3
usually most severe at night during rest,ankylosing spondylitis (as),58,3
early morning stiffness,ankylosing spondylitis (as),58,3
stooped posture in response to back pain (bending forward tends to relieve the pain),ankylosing spondylitis (as),58,3
straight and stiff spine,ankylosing spondylitis (as),58,3
inability to take a deep breath if the joints between the ribs and spine are affected,ankylosing spondylitis (as),58,3
appetite loss,ankylosing spondylitis (as),58,3
weight loss,ankylosing spondylitis (as),58,3
fatigue,ankylosing spondylitis (as),58,3
fever,ankylosing spondylitis (as),58,3
anemia,ankylosing spondylitis (as),58,3
joint pain,ankylosing spondylitis (as),58,3
mild eye inflammation,ankylosing spondylitis (as),58,3
organ damage (such as to the heart,ankylosing spondylitis (as),58,3
lungs,ankylosing spondylitis (as),58,3
and eyes),ankylosing spondylitis (as),58,3
skin rashes,ankylosing spondylitis (as),58,3
digestive illness (such as crohn's or ulcerative colitis),ankylosing spondylitis (as),58,3
shortness of breath,berylliosis,59,1
weakness,berylliosis,59,1
fatigue,berylliosis,59,1
loss of appetite,berylliosis,59,1
weight loss,berylliosis,59,1
joint pain,berylliosis,59,1
cough,berylliosis,59,1
fever,berylliosis,59,1
onset of dermatitis herpetiformis can be acute or gradual. vesicles,bullous dermatitis herpetiformis,60,1
papules,bullous dermatitis herpetiformis,60,1
and urticarial lesions are usually distributed symmetrically on extensor aspects of the elbows and knees and on the sacrum,bullous dermatitis herpetiformis,60,1
buttocks,bullous dermatitis herpetiformis,60,1
and occiput. lesions itch and burn. because itching is intense and skin is fragile,bullous dermatitis herpetiformis,60,1
vesicles tend to rupture quickly,bullous dermatitis herpetiformis,60,1
often making intact vesicles difficult to detect. oral lesions may develop but are usually asymptomatic. iodides and iodine-containing preparations may exacerbate the cutaneous symptoms,bullous dermatitis herpetiformis,60,1
abnormal paleness or lack of color of the skin,hemolytic anemia,62,1
yellowish skin,hemolytic anemia,62,1
eyes,hemolytic anemia,62,1
and mouth (jaundice),hemolytic anemia,62,1
dark-colored urine,hemolytic anemia,62,1
fever,hemolytic anemia,62,1
weakness,hemolytic anemia,62,1
dizziness,hemolytic anemia,62,1
confusion,hemolytic anemia,62,1
can't handle physical activity,hemolytic anemia,62,1
enlarged spleen and liver,hemolytic anemia,62,1
increased heart rate (tachycardia),hemolytic anemia,62,1
heart murmur,hemolytic anemia,62,1
the symptoms of hemolytic anemia may look like other blood conditions or health problems. always see your healthcare provider for a diagnosis,hemolytic anemia,62,1
symptoms of high calcium levels (hypercalcemia):,hypercalcemia caused by cancer,63,1
common symptoms:,hypercalcemia caused by cancer,63,1
feeling unwell,hypercalcemia caused by cancer,63,1
fatigue,hypercalcemia caused by cancer,63,1
first symptoms:,hypercalcemia caused by cancer,63,1
increased fatigue,hypercalcemia caused by cancer,63,1
weakness,hypercalcemia caused by cancer,63,1
reduced appetite,hypercalcemia caused by cancer,63,1
constipation,hypercalcemia caused by cancer,63,1
loss of concentration and interest,hypercalcemia caused by cancer,63,1
mild confusion,hypercalcemia caused by cancer,63,1
low mood,hypercalcemia caused by cancer,63,1
irritability,hypercalcemia caused by cancer,63,1
untreated high calcium symptoms:,hypercalcemia caused by cancer,63,1
nausea and vomiting,hypercalcemia caused by cancer,63,1
drowsiness,hypercalcemia caused by cancer,63,1
excessive urination,hypercalcemia caused by cancer,63,1
thirst or dehydration,hypercalcemia caused by cancer,63,1
confusion or agitation,hypercalcemia caused by cancer,63,1
muscle spasms,hypercalcemia caused by cancer,63,1
tremors,hypercalcemia caused by cancer,63,1
bone pain and weakness,hypercalcemia caused by cancer,63,1
irregular heartbeat,hypercalcemia caused by cancer,63,1
difficulty thinking and speaking clearly,hypercalcemia caused by cancer,63,1
brain and spinal cord symptoms:,hypercalcemia caused by cancer,63,1
seizures (fits),hypercalcemia caused by cancer,63,1
impaired coordination of muscle movement (affecting walking,hypercalcemia caused by cancer,63,1
talking,hypercalcemia caused by cancer,63,1
eating),hypercalcemia caused by cancer,63,1
changes in personality,hypercalcemia caused by cancer,63,1
thick,keloids scars,64,1
irregular scarring,keloids scars,64,1
typically on the earlobes,keloids scars,64,1
shoulders,keloids scars,64,1
cheeks,keloids scars,64,1
or middle chest,keloids scars,64,1
shiny,keloids scars,64,1
hairless,keloids scars,64,1
lumpy,keloids scars,64,1
raised skin,keloids scars,64,1
varied size,keloids scars,64,1
depending on the size of the original injury and when the keloid stops growing,keloids scars,64,1
varied texture,keloids scars,64,1
from soft to firm and rubbery,keloids scars,64,1
reddish,keloids scars,64,1
brown,keloids scars,64,1
or purplish,keloids scars,64,1
depending on your skin color,keloids scars,64,1
itchiness,keloids scars,64,1
discomfort,keloids scars,64,1
fever or chills,leukemias,65,1
persistent fatigue,leukemias,65,1
weakness,leukemias,65,1
frequent or severe infections,leukemias,65,1
losing weight without trying,leukemias,65,1
swollen lymph nodes,leukemias,65,1
enlarged liver or spleen,leukemias,65,1
easy bleeding or bruising,leukemias,65,1
recurrent nosebleeds,leukemias,65,1
tiny red spots in your skin (petechiae),leukemias,65,1
excessive sweating,leukemias,65,1
especially at night,leukemias,65,1
bone pain or tenderness,leukemias,65,1
premycotic phase,mycosis fungoides (mf),66,1
patch phase,mycosis fungoides (mf),66,1
plaque phase,mycosis fungoides (mf),66,1
tumor phase,mycosis fungoides (mf),66,1
sézary cells (in severe stages),mycosis fungoides (mf),66,1
sézary syndrome (associated with erythroderma),mycosis fungoides (mf),66,1
shiny,necrobiosis lipoidica diabeticorum,67,1
asymptomatic patches,necrobiosis lipoidica diabeticorum,67,1
slow enlargement over months to years,necrobiosis lipoidica diabeticorum,67,1
initially red-brown color,necrobiosis lipoidica diabeticorum,67,1
progression to yellow,necrobiosis lipoidica diabeticorum,67,1
depressed,necrobiosis lipoidica diabeticorum,67,1
atrophic plaques,necrobiosis lipoidica diabeticorum,67,1
ulcerations (can occur after trauma,necrobiosis lipoidica diabeticorum,67,1
occasionally with associated pain),necrobiosis lipoidica diabeticorum,67,1
main complaint: unsightly cosmetic appearance of lesions,necrobiosis lipoidica diabeticorum,67,1
eye pain – usually a dull ache in or around your eye,ocular inflammation,68,2
which may be worse when focusing,ocular inflammation,68,2
eye redness,ocular inflammation,68,2
sensitivity to light (photophobia),ocular inflammation,68,2
blurred or cloudy vision,ocular inflammation,68,2
small shapes moving across your field of vision (floaters),ocular inflammation,68,2
loss of the ability to see objects at the side of your field of vision (peripheral vision),ocular inflammation,68,2
severe fatigue,systemic lupus erythematosus,70,1
joint pain,systemic lupus erythematosus,70,1
joint swelling,systemic lupus erythematosus,70,1
headaches,systemic lupus erythematosus,70,1
a rash on the cheeks and nose (butterfly rash),systemic lupus erythematosus,70,1
hair loss,systemic lupus erythematosus,70,1
anemia,systemic lupus erythematosus,70,1
blood-clotting problems,systemic lupus erythematosus,70,1
fingers turning white or blue and tingling when cold (raynaud’s phenomenon),systemic lupus erythematosus,70,1
frequent,temporal arteritis,71,1
severe headaches,temporal arteritis,71,1
pain and tenderness over the temples,temporal arteritis,71,1
jaw pain while eating or talking,temporal arteritis,71,1
vision problems such as double vision or loss of vision in 1 or both eyes,temporal arteritis,71,1
possibly no signs or symptoms,trichinosis,72,1
mild cases of trichinosis — those with only a small number of parasites in your body — may cause no signs or symptoms,trichinosis,72,1
symptoms can develop with moderate or heavy infestation — a large number of parasites in your body. these symptoms sometimes get worse as the roundworm (trichinella) larvae travel through your body,trichinosis,72,1
diarrhea,trichinosis,72,1
stomach (abdominal) pain,trichinosis,72,1
fatigue,trichinosis,72,1
nausea and vomiting,trichinosis,72,1
high fever and chills,trichinosis,72,1
muscle pain and tenderness,trichinosis,72,1
aching joints,trichinosis,72,1
swelling of the eyelids or face,trichinosis,72,1
weakness,trichinosis,72,1
headache,trichinosis,72,1
sensitivity to light,trichinosis,72,1
pink eye (conjunctivitis),trichinosis,72,1
itchy,trichinosis,72,1
irritated skin,trichinosis,72,1
fever and chills,tuberculous meningitis,73,1
mental status changes,tuberculous meningitis,73,1
nausea and vomiting,tuberculous meningitis,73,1
sensitivity to light (photophobia),tuberculous meningitis,73,1
severe headache,tuberculous meningitis,73,1
stiff neck (meningismus),tuberculous meningitis,73,1
agitation,tuberculous meningitis,73,1
bulging fontanelles (soft spots) in babies,tuberculous meningitis,73,1
decreased consciousness,tuberculous meningitis,73,1
poor feeding or irritability in children,tuberculous meningitis,73,1
unusual posture,tuberculous meningitis,73,1
with the head and neck arched backward (opisthotonos). this is usually found in infants (less than 3 months old),tuberculous meningitis,73,1
diarrhea,ulcerative colitis,74,1
often with blood or pus,ulcerative colitis,74,1
rectal bleeding — passing a small amount of blood with stool,ulcerative colitis,74,1
abdominal pain and cramping,ulcerative colitis,74,1
rectal pain,ulcerative colitis,74,1
urgency to defecate,ulcerative colitis,74,1
inability to defecate despite urgency,ulcerative colitis,74,1
weight loss,ulcerative colitis,74,1
fatigue,ulcerative colitis,74,3
fever,ulcerative colitis,74,1
failure to grow (in children),ulcerative colitis,74,1
eye pain,uveitis,75,1
eye redness,uveitis,75,1
sensitivity to light (photophobia),uveitis,75,1
blurred or cloudy vision,uveitis,75,1
