iter	Passed	Remaining
0	84	16775
1	136	13541
2	171	11232
3	210	10332
4	249	9729
5	290	9389
6	327	9037
7	369	8865
8	405	8615
9	445	8459
10	481	8275
11	521	8172
12	559	8046
13	600	7979
14	638	7873
15	678	7801
16	713	7685
17	753	7618
18	792	7551
19	832	7496
20	872	7439
21	912	7380
22	962	7410
23	1001	7347
24	1044	7314
25	1081	7239
26	1121	7183
27	1162	7138
28	1202	7089
29	1240	7027
30	1282	6992
31	1323	6950
32	1361	6888
33	1399	6834
34	1436	6772
35	1474	6718
36	1517	6687
37	1555	6632
38	1593	6580
39	1633	6535
40	1670	6478
41	1707	6423
42	1744	6369
43	1782	6320
44	1826	6291
45	1864	6242
46	1907	6210
47	1953	6185
48	1999	6161
49	2044	6134
50	2089	6104
51	2144	6103
52	2193	6083
53	2249	6082
54	2295	6051
55	2343	6026
56	2379	5968
57	2413	5909
58	2454	5865
59	2495	5822
60	2534	5775
61	2593	5773
62	2641	5744
63	2696	5730
64	2742	5696
65	2802	5689
66	2845	5647
67	2891	5613
68	2989	5675
69	3059	5682
70	3124	5676
71	3198	5686
72	3528	6138
73	3630	6182
74	3682	6136
75	3724	6077
76	3781	6039
77	3846	6015
78	3912	5992
79	3972	5958
80	4057	5961
81	4131	5945
82	4230	5963
83	4282	5914
84	4331	5860
